"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-21","0.26",,"48","37"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-22",,,"45","26"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-23",,,"44","25"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-24","0.26","2.0","42","10"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-25",,,"15","-6"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-26",,,"22","2"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-27",,,"27","2"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-28",,,"40","8"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-29","0.00",,"35","29"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-30",,,"31","15"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-01-31",,,"38","22"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-01",,"0.0","36","22"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-02",,"0.0","38","8"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-03",,"0.0","40","31"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-04","0.30","3.0","33","17"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-05",,"0.0","29","3"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-06",,"0.0","45","17"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-07","0.29","0.0","40","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-08","0.23","0.0","44","37"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-09","0.46","0.0","64","43"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-10",,"0.0","61","35"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-11",,"0.0","39","25"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-12","0.08","0.8","42","25"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-13","0.00","0.0","37","18"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-14",,"0.0","32","20"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-15","0.28","2.8","27","15"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-16",,"0.0","25","7"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-17","0.22","0.0","40","19"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-18","0.52","0.0","42","30"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-19","0.00","0.0","46","25"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-20",,"0.0","33","19"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-21",,"0.0","32","14"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-22",,"0.0","32","13"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-23",,"0.0","28","10"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-24",,"0.0","28","5"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-25","0.08","0.8","30","9"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-26","0.50","5.0","42","24"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-27",,"0.0","45","12"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-02-28",,"0.0","43","30"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-01",,"0.0","55","30"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-02",,"0.0","53","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-03",,"0.0","59","23"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-04",,"0.0","68","30"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-05",,"0.0","69","49"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-06","0.34","0.0","62","42"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-07",,"0.0","59","29"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-08","0.03","0.0","48","34"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-09",,"0.0","59","30"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-10",,"0.0","66","30"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-11",,"0.0","60","42"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-12",,"0.0","57","23"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-13",,"0.0","62","40"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-14",,"0.0","51","27"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-15","0.34","0.0","60","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-16",,"0.0","60","35"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-17",,"0.0","71","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-18","0.02","0.0","71","42"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-19","0.34","0.0","71","57"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-20","0.06","0.0","79","51"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-21","0.39","0.0","71","57"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-22","0.37","0.0","66","50"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-23","0.01","0.0","60","39"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-24",,"0.0","54","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-25",,"0.0","33","20"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-26",,"0.0","24","15"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-27",,"0.0","31","14"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-28","0.00","0.0","42","22"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-29","0.12","1.1","31","26"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-30",,"0.0","49","22"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-03-31",,"0.0","55","35"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-01",,"0.0","55","31"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-02",,"0.0","46","32"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-03","0.15","0.0","58","27"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-04",,"0.0","63","47"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-05","0.03","0.0","55","36"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-06",,"0.0","55","30"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-07","0.12","0.0","60","39"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-08",,"0.0","52","28"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-09","0.07","0.0","51","27"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-10","0.36","0.0","49","39"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-11","0.01","0.0","46","31"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-12",,"0.0","55","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-13",,"0.0","61","49"
"USC00331778","COLUMBUS OHIO STATE, OH US","1894-04-14",,"0.0","65","33"
